"","lower","upper","mean","wave","age.group","contact.age.group","text_color","row_num","col_num"
"1",4.45511234306538,4.48836835266583,4.47143956024898,"Wave 9","[0,17)","[0,17)","up",1,1
"2",6.68118477808738,6.72636475186735,6.70352184769758,"Wave 9","[0,17)","[17,70)","up",1,1
"3",0.24222619570165,0.250684752620118,0.246649097705392,"Wave 9","[0,17)","70+","low",1,1
"4",0.881993544527593,0.8903631234172,0.886108839585319,"Wave 9","[17,70)","[0,17)","low",1,1
"5",6.45223056622332,6.47487565429953,6.46361138951366,"Wave 9","[17,70)","[17,70)","up",1,1
"6",0.603125208559838,0.609262572188438,0.60620721079847,"Wave 9","[17,70)","70+","low",1,1
"7",0.275279926876136,0.287101692752869,0.281340095803016,"Wave 9","70+","[0,17)","low",1,1
"8",3.0989848402577,3.14825867590045,3.12455765489397,"Wave 9","70+","[17,70)","up",1,1
"9",2.55159373881936,2.59794611794571,2.57518720381398,"Wave 9","70+","70+","up",1,1
"10",4.86950851842373,4.90491727949283,4.88706863381413,"Wave 10","[0,17)","[0,17)","up",1,2
"11",7.04443000997991,7.08619182441212,7.06531611842882,"Wave 10","[0,17)","[17,70)","up",1,2
"12",0.233625844324878,0.241014770197541,0.237301735225513,"Wave 10","[0,17)","70+","low",1,2
"13",0.911219608544742,0.919519191843297,0.915269445549321,"Wave 10","[17,70)","[0,17)","low",1,2
"14",6.40328292865688,6.42605766500041,6.41496768414758,"Wave 10","[17,70)","[17,70)","up",1,2
"15",0.593822169026559,0.600536324134821,0.59717147520809,"Wave 10","[17,70)","70+","low",1,2
"16",0.170459516156566,0.179568579917309,0.175060072836587,"Wave 10","70+","[0,17)","low",1,2
"17",3.94351839028456,3.99857671814004,3.97142651607462,"Wave 10","70+","[17,70)","up",1,2
"18",2.18559409765049,2.22527318201742,2.20480005675035,"Wave 10","70+","70+","up",1,2
"19",4.41171277320591,4.44861835978383,4.42971826655884,"Wave 11","[0,17)","[0,17)","up",1,3
"20",7.11248987910841,7.15811315609663,7.13493666985818,"Wave 11","[0,17)","[17,70)","up",1,3
"21",0.125719625197307,0.131303053540605,0.128442227870198,"Wave 11","[0,17)","70+","low",1,3
"22",0.812076401238209,0.821197656920254,0.816555170946577,"Wave 11","[17,70)","[0,17)","low",1,3
"23",6.0176770488083,6.04036194098195,6.02953231929463,"Wave 11","[17,70)","[17,70)","up",1,3
"24",0.481852557773126,0.487865885366928,0.484773584426345,"Wave 11","[17,70)","70+","low",1,3
"25",0.351783949058822,0.369904606477691,0.360272340949562,"Wave 11","70+","[0,17)","low",1,3
"26",3.37721303687689,3.43062300795229,3.40412549610659,"Wave 11","70+","[17,70)","up",1,3
"27",2.09829754523874,2.13254998358751,2.11546880821542,"Wave 11","70+","70+","up",1,3
"28",4.89498653107655,4.94548991032537,4.92091909106695,"Wave 12","[0,17)","[0,17)","up",1,4
"29",6.6877886434886,6.74322069235309,6.71551744476439,"Wave 12","[0,17)","[17,70)","up",1,4
"30",0.479844788299167,0.490019496117593,0.484866939417882,"Wave 12","[0,17)","70+","low",1,4
"31",0.821899133947842,0.832139448407929,0.827142340741584,"Wave 12","[17,70)","[0,17)","low",1,4
"32",5.0250099511749,5.0494669459175,5.03740123144374,"Wave 12","[17,70)","[17,70)","up",1,4
"33",1.84351316460446,1.85905000542486,1.85124788625993,"Wave 12","[17,70)","70+","up",1,4
"34",0.293046310071565,0.310537742501896,0.301780919903757,"Wave 12","70+","[0,17)","low",1,4
"35",2.85436638101735,2.9067330439777,2.88064892856447,"Wave 12","70+","[17,70)","up",1,4
"36",2.78814177250929,2.83635103440677,2.81186601063839,"Wave 12","70+","70+","up",1,4
"37",6.24919606136331,6.29654804630379,6.27254653356102,"Wave 13","[0,17)","[0,17)","up",2,1
"38",7.9215938109392,7.97304937309746,7.94739121390761,"Wave 13","[0,17)","[17,70)","up",2,1
"39",0.844379647491781,0.859982331865316,0.852091721942091,"Wave 13","[0,17)","70+","low",2,1
"40",0.927764568948379,0.94035372558676,0.934282225326336,"Wave 13","[17,70)","[0,17)","low",2,1
"41",5.41037335418495,5.43924460718867,5.42496497284333,"Wave 13","[17,70)","[17,70)","up",2,1
"42",1.70965000507212,1.72384487367753,1.71652316250298,"Wave 13","[17,70)","70+","up",2,1
"43",0.410173264630128,0.43146268257707,0.421134570449319,"Wave 13","70+","[0,17)","low",2,1
"44",3.1705698111834,3.22254022920244,3.19750896054097,"Wave 13","70+","[17,70)","up",2,1
"45",2.95811915760032,3.01556174650393,2.98559072887854,"Wave 13","70+","70+","up",2,1
"46",6.91593026602284,6.9633121305943,6.93898556334932,"Wave 14","[0,17)","[0,17)","up",2,2
"47",8.06505264160485,8.11575080582598,8.09006671459336,"Wave 14","[0,17)","[17,70)","up",2,2
"48",0.658209190482161,0.673145081477806,0.665630526148256,"Wave 14","[0,17)","70+","low",2,2
"49",0.856527324295114,0.867589109355814,0.862180635051873,"Wave 14","[17,70)","[0,17)","low",2,2
"50",5.33231826739108,5.35632759486894,5.34430802384699,"Wave 14","[17,70)","[17,70)","up",2,2
"51",1.80672991842032,1.8202844368115,1.8137551653835,"Wave 14","[17,70)","70+","up",2,2
"52",0.268211734642533,0.287683446395994,0.278095857022694,"Wave 14","70+","[0,17)","low",2,2
"53",2.67120706430146,2.73763596278944,2.7034636466414,"Wave 14","70+","[17,70)","up",2,2
"54",2.6989886843184,2.77987940898791,2.73982187944378,"Wave 14","70+","70+","up",2,2
"55",5.63769752125783,5.6838936631333,5.66160157569727,"Wave 15","[0,17)","[0,17)","up",2,3
"56",7.64551171269868,7.70278499877004,7.67474179305413,"Wave 15","[0,17)","[17,70)","up",2,3
"57",0.782043729792324,0.799433604343471,0.790481470650978,"Wave 15","[0,17)","70+","low",2,3
"58",0.725235367908823,0.734938159874418,0.729982037893268,"Wave 15","[17,70)","[0,17)","low",2,3
"59",5.34203817705547,5.37074610411823,5.35622433521527,"Wave 15","[17,70)","[17,70)","up",2,3
"60",1.9756073605307,1.99319176997853,1.98453004341659,"Wave 15","[17,70)","70+","up",2,3
"61",0.282941213104561,0.29572934870388,0.288985017078924,"Wave 15","70+","[0,17)","low",2,3
"62",3.46293133548055,3.52896473591652,3.49459420765693,"Wave 15","70+","[17,70)","up",2,3
"63",3.10920731179364,3.17036115713349,3.13932625915991,"Wave 15","70+","70+","up",2,3
"64",4.54002617396477,4.58275758064076,4.56171566816678,"Wave 16","[0,17)","[0,17)","up",2,4
"65",6.51223375626385,6.56961859982523,6.54081101338805,"Wave 16","[0,17)","[17,70)","up",2,4
"66",0.674990654164898,0.692951964556359,0.683691442390284,"Wave 16","[0,17)","70+","low",2,4
"67",0.724943838934014,0.736708141035157,0.730671741218455,"Wave 16","[17,70)","[0,17)","low",2,4
"68",4.86065172025262,4.88717362470642,4.87327405199913,"Wave 16","[17,70)","[17,70)","up",2,4
"69",1.80355167845325,1.82038348686659,1.81190930139823,"Wave 16","[17,70)","70+","up",2,4
"70",0.719522104657638,0.762480263178291,0.740675818185753,"Wave 16","70+","[0,17)","low",2,4
"71",2.85663780609716,2.92722267803791,2.8937429362096,"Wave 16","70+","[17,70)","up",2,4
"72",2.99110963544079,3.06584900552512,3.02664271655771,"Wave 16","70+","70+","up",2,4
"73",5.87244553257922,5.92519700638266,5.89882022304509,"Wave 17","[0,17)","[0,17)","up",3,1
"74",7.3313974916209,7.3924246034564,7.3626348047105,"Wave 17","[0,17)","[17,70)","up",3,1
"75",0.835524226938156,0.856266678899754,0.846026065955841,"Wave 17","[0,17)","70+","low",3,1
"76",0.74867934455512,0.759726663553914,0.754287539985966,"Wave 17","[17,70)","[0,17)","low",3,1
"77",5.066554236168,5.09776571602475,5.0824648282034,"Wave 17","[17,70)","[17,70)","up",3,1
"78",1.74062333601068,1.75741756711814,1.74946059407194,"Wave 17","[17,70)","70+","up",3,1
"79",0.68612793621269,0.743551142710986,0.715756916837748,"Wave 17","70+","[0,17)","low",3,1
"80",2.61261716853226,2.71109372054906,2.66045584764306,"Wave 17","70+","[17,70)","up",3,1
"81",3.4134377672626,3.53044452243431,3.4750612399432,"Wave 17","70+","70+","up",3,1
"82",5.7025606902327,5.73770645347022,5.72033908343941,"Wave 18","[0,17)","[0,17)","up",3,2
"83",7.21543199967094,7.25973335703014,7.23755226718936,"Wave 18","[0,17)","[17,70)","up",3,2
"84",0.671729361883553,0.682907313711252,0.677207606698121,"Wave 18","[0,17)","70+","low",3,2
"85",0.851899914068392,0.859461365262074,0.855519528304593,"Wave 18","[17,70)","[0,17)","low",3,2
"86",5.08770973318899,5.10775920694018,5.09753116581357,"Wave 18","[17,70)","[17,70)","up",3,2
"87",1.89914468882357,1.9112274014693,1.90558794265662,"Wave 18","[17,70)","70+","up",3,2
"88",0.422321353212767,0.439248234498749,0.430800600952671,"Wave 18","70+","[0,17)","low",3,2
"89",3.03007722053988,3.08113092783199,3.05612127718809,"Wave 18","70+","[17,70)","up",3,2
"90",2.7981412258587,2.84948869291338,2.8244769895219,"Wave 18","70+","70+","up",3,2
"91",4.55432903676632,4.5834084050393,4.56874581532281,"Wave 19","[0,17)","[0,17)","up",3,3
"92",6.51132432994386,6.55367829668962,6.53255814260799,"Wave 19","[0,17)","[17,70)","up",3,3
"93",0.571602452412444,0.583555239074412,0.577321964936554,"Wave 19","[0,17)","70+","low",3,3
"94",0.681422455834782,0.689506558774154,0.685580799344,"Wave 19","[17,70)","[0,17)","low",3,3
"95",4.85430536206483,4.87502791885603,4.86443905763526,"Wave 19","[17,70)","[17,70)","up",3,3
"96",1.78946746979525,1.80057848491909,1.79502238943637,"Wave 19","[17,70)","70+","up",3,3
"97",0.457302848185566,0.472355795648557,0.464807381641423,"Wave 19","70+","[0,17)","low",3,3
"98",3.09624058343025,3.13984197869911,3.11888531945999,"Wave 19","70+","[17,70)","up",3,3
"99",2.27143665773408,2.31091355959422,2.29013030758414,"Wave 19","70+","70+","up",3,3
"100",3.56276561361039,3.59461834510613,3.57818827449789,"Wave 20","[0,17)","[0,17)","up",3,4
"101",5.80243479983214,5.84398286010217,5.82334728712438,"Wave 20","[0,17)","[17,70)","up",3,4
"102",0.399510113941984,0.408872090636402,0.404043081447675,"Wave 20","[0,17)","70+","low",3,4
