,lower,upper,mean,wave,age.group,contact.age.group,text_color,row_num,col_num
65,3.621472586,3.649737353,3.636044432,Wave 16,"[0,17)","[17,70)",up,2,4
66,0.700536089,0.723694983,0.712509283,Wave 16,"[0,17)",70+,low,2,4
67,3.62194487,3.650435242,3.636046103,Wave 16,"[17,70)","[0,17)",up,2,4
68,4.859357855,4.885635326,4.87287737,Wave 16,"[17,70)","[17,70)",up,2,4
69,2.335635907,2.371202385,2.35335029,Wave 16,"[17,70)",70+,up,2,4
70,0.700194026,0.723813365,0.712239298,Wave 16,70+,"[0,17)",low,2,4
71,2.335295817,2.371313459,2.352631945,Wave 16,70+,"[17,70)",up,2,4
72,2.987853772,3.06267327,3.025752975,Wave 16,70+,70+,up,2,4
73,5.871084528,5.925293625,5.898604138,Wave 17,"[0,17)","[0,17)",up,3,1
74,4.04239311,4.073238086,4.057950625,Wave 17,"[0,17)","[17,70)",up,3,1
75,0.765695891,0.797929198,0.781041554,Wave 17,"[0,17)",70+,low,3,1
76,4.042581297,4.074123034,4.058267778,Wave 17,"[17,70)","[0,17)",up,3,1
77,5.068728765,5.097239476,5.082236232,Wave 17,"[17,70)","[17,70)",up,3,1
78,2.181179321,2.233152091,2.205365364,Wave 17,"[17,70)",70+,up,3,1
79,0.765202383,0.797469439,0.78136016,Wave 17,70+,"[0,17)",low,3,1
80,2.17841935,2.229302999,2.204333603,Wave 17,70+,"[17,70)",up,3,1
81,3.417487162,3.529309574,3.474378435,Wave 17,70+,70+,up,3,1
82,5.701705562,5.737341121,5.71986569,Wave 18,"[0,17)","[0,17)",up,3,2
83,4.035347363,4.058177938,4.04667963,Wave 18,"[0,17)","[17,70)",up,3,2
84,0.549132078,0.558717803,0.554019697,Wave 18,"[0,17)",70+,low,3,2
85,4.03574886,4.057995877,4.046845362,Wave 18,"[17,70)","[0,17)",up,3,2
86,5.086963542,5.106630669,5.096918271,Wave 18,"[17,70)","[17,70)",up,3,2
87,2.468635589,2.493567304,2.481091627,Wave 18,"[17,70)",70+,up,3,2
88,0.548882662,0.559003943,0.554078573,Wave 18,70+,"[0,17)",low,3,2
89,2.468089619,2.493604363,2.481017716,Wave 18,70+,"[17,70)",up,3,2
90,2.8015315,2.850848409,2.826288029,Wave 18,70+,70+,up,3,2
91,4.553864559,4.584582883,4.568694291,Wave 19,"[0,17)","[0,17)",up,3,3
92,3.598613934,3.619498984,3.609329953,Wave 19,"[0,17)","[17,70)",up,3,3
93,0.516602304,0.526073189,0.521221036,Wave 19,"[0,17)",70+,low,3,3
94,3.599326117,3.619559415,3.60941177,Wave 19,"[17,70)","[0,17)",up,3,3
95,4.855060498,4.874963307,4.864662743,Wave 19,"[17,70)","[17,70)",up,3,3
96,2.445421998,2.468014429,2.456476887,Wave 19,"[17,70)",70+,up,3,3
97,0.51623678,0.525635826,0.521015975,Wave 19,70+,"[0,17)",low,3,3
98,2.445264586,2.467726476,2.456529737,Wave 19,70+,"[17,70)",up,3,3
99,2.269455921,2.309692703,2.290156091,Wave 19,70+,70+,up,3,3
100,3.563663001,3.593729572,3.577904356,Wave 20,"[0,17)","[0,17)",up,3,4
101,3.26156569,3.282922817,3.272285366,Wave 20,"[0,17)","[17,70)",up,3,4
102,0.404615295,0.413378165,0.409034574,Wave 20,"[0,17)",70+,low,3,4
103,3.261655864,3.282587696,3.272104293,Wave 20,"[17,70)","[0,17)",up,3,4
104,4.831914255,4.853666,4.842239402,Wave 20,"[17,70)","[17,70)",up,3,4
105,2.173187587,2.199308594,2.186499375,Wave 20,"[17,70)",70+,up,3,4
106,0.404951217,0.413559208,0.409119723,Wave 20,70+,"[0,17)",low,3,4
107,2.172745658,2.19905239,2.186057811,Wave 20,70+,"[17,70)",up,3,4
108,2.76351186,2.817754152,2.789497417,Wave 20,70+,70+,up,3,4
109,5.198677203,5.239706765,5.219078508,Wave 21,"[0,17)","[0,17)",up,4,1
110,3.78840327,3.814550757,3.801532101,Wave 21,"[0,17)","[17,70)",up,4,1
111,0.467356937,0.479267749,0.473064546,Wave 21,"[0,17)",70+,low,4,1
112,3.789778643,3.814824398,3.80176579,Wave 21,"[17,70)","[0,17)",up,4,1
113,4.875942513,4.899375827,4.887658392,Wave 21,"[17,70)","[17,70)",up,4,1
114,2.101851543,2.121613687,2.112062463,Wave 21,"[17,70)",70+,up,4,1
115,0.467327331,0.479048765,0.473114769,Wave 21,70+,"[0,17)",low,4,1
116,2.101751326,2.122229979,2.112069116,Wave 21,70+,"[17,70)",up,4,1
117,3.041122442,3.089544127,3.064646559,Wave 21,70+,70+,up,4,1
118,4.926022915,4.95580834,4.940330472,Wave 22,"[0,17)","[0,17)",up,4,2
119,4.012538913,4.032492508,4.022378538,Wave 22,"[0,17)","[17,70)",up,4,2
120,0.703603057,0.714336288,0.708849219,Wave 22,"[0,17)",70+,low,4,2
121,4.012391655,4.032407212,4.022601313,Wave 22,"[17,70)","[0,17)",up,4,2
122,5.425790775,5.446347269,5.435901918,Wave 22,"[17,70)","[17,70)",up,4,2
