,lower,upper,mean,wave,age.group,contact.age.group,text_color,row_num,col_num
65,4.138230065,4.169353086,4.154359689,Wave 16,"[0,17)","[17,70)",up,2,4
66,0.807104114,0.832104358,0.81978437,Wave 16,"[0,17)",70+,low,2,4
67,4.138058459,4.169013391,4.153133598,Wave 16,"[17,70)","[0,17)",up,2,4
68,5.84914024,5.879766651,5.86440462,Wave 16,"[17,70)","[17,70)",up,2,4
69,2.840252536,2.879672679,2.860726194,Wave 16,"[17,70)",70+,up,2,4
70,0.807577053,0.831782983,0.819353766,Wave 16,70+,"[0,17)",low,2,4
71,2.842073709,2.880203116,2.860514463,Wave 16,70+,"[17,70)",up,2,4
72,3.649859309,3.730760472,3.689990767,Wave 16,70+,70+,up,2,4
73,6.826909458,6.886240231,6.85559901,Wave 17,"[0,17)","[0,17)",up,3,1
74,4.700468032,4.735142173,4.717566019,Wave 17,"[0,17)","[17,70)",up,3,1
75,0.860551046,0.895292667,0.877484482,Wave 17,"[0,17)",70+,low,3,1
76,4.700324475,4.736130168,4.717747546,Wave 17,"[17,70)","[0,17)",up,3,1
77,6.205854868,6.236436093,6.221138599,Wave 17,"[17,70)","[17,70)",up,3,1
78,2.673201448,2.72501979,2.699838808,Wave 17,"[17,70)",70+,up,3,1
79,0.859613682,0.895072741,0.877075548,Wave 17,70+,"[0,17)",low,3,1
80,2.675253275,2.726784066,2.700454103,Wave 17,70+,"[17,70)",up,3,1
81,4.096231744,4.219629641,4.156156024,Wave 17,70+,70+,up,3,1
82,6.308483241,6.346222086,6.326829331,Wave 18,"[0,17)","[0,17)",up,3,2
83,4.513306576,4.536109063,4.525030827,Wave 18,"[0,17)","[17,70)",up,3,2
84,0.630092863,0.6421741,0.63617985,Wave 18,"[0,17)",70+,low,3,2
85,4.51425565,4.536144117,4.524976916,Wave 18,"[17,70)","[0,17)",up,3,2
86,6.039908928,6.060938599,6.05039025,Wave 18,"[17,70)","[17,70)",up,3,2
87,2.982831757,3.01110874,2.996967037,Wave 18,"[17,70)",70+,up,3,2
88,0.630244869,0.642349324,0.636195571,Wave 18,70+,"[0,17)",low,3,2
89,2.98365968,3.009970247,2.996725898,Wave 18,70+,"[17,70)",up,3,2
90,3.373686997,3.427028028,3.399822959,Wave 18,70+,70+,up,3,2
91,5.277178744,5.311167238,5.293690623,Wave 19,"[0,17)","[0,17)",up,3,3
92,4.184258589,4.205443484,4.194837798,Wave 19,"[0,17)","[17,70)",up,3,3
93,0.611943918,0.621910854,0.616860349,Wave 19,"[0,17)",70+,low,3,3
94,4.183903314,4.204621015,4.19452781,Wave 19,"[17,70)","[0,17)",up,3,3
95,5.946796487,5.969897957,5.957824346,Wave 19,"[17,70)","[17,70)",up,3,3
96,3.0137919,3.037842531,3.02608632,Wave 19,"[17,70)",70+,up,3,3
97,0.612165869,0.621779293,0.617019451,Wave 19,70+,"[0,17)",low,3,3
98,3.015157409,3.038436951,3.02650892,Wave 19,70+,"[17,70)",up,3,3
99,2.848358367,2.892681888,2.869846393,Wave 19,70+,70+,up,3,3
100,4.223649539,4.255331529,4.239642166,Wave 20,"[0,17)","[0,17)",up,3,4
101,3.894996032,3.916534839,3.905677341,Wave 20,"[0,17)","[17,70)",up,3,4
102,0.50265172,0.512482453,0.507467636,Wave 20,"[0,17)",70+,low,3,4
103,3.89507786,3.916440304,3.905613997,Wave 20,"[17,70)","[0,17)",up,3,4
104,5.995313396,6.0179408,6.007012916,Wave 20,"[17,70)","[17,70)",up,3,4
105,2.687210023,2.71586508,2.702091274,Wave 20,"[17,70)",70+,up,3,4
106,0.502721949,0.51247796,0.507665378,Wave 20,70+,"[0,17)",low,3,4
107,2.688118015,2.717241666,2.702297644,Wave 20,70+,"[17,70)",up,3,4
108,3.450487395,3.508944127,3.480257677,Wave 20,70+,70+,up,3,4
109,6.272248624,6.314308042,6.293805008,Wave 21,"[0,17)","[0,17)",up,4,1
110,4.607377484,4.634077721,4.620257349,Wave 21,"[0,17)","[17,70)",up,4,1
111,0.560635665,0.572679568,0.566674615,Wave 21,"[0,17)",70+,low,4,1
112,4.607411748,4.63399255,4.620304817,Wave 21,"[17,70)","[0,17)",up,4,1
113,6.104436901,6.131335605,6.118077243,Wave 21,"[17,70)","[17,70)",up,4,1
114,2.657461561,2.680128243,2.668737262,Wave 21,"[17,70)",70+,up,4,1
115,0.560875102,0.573246726,0.566944712,Wave 21,70+,"[0,17)",low,4,1
116,2.657267177,2.680146083,2.668841104,Wave 21,70+,"[17,70)",up,4,1
117,3.799439597,3.85121856,3.825300843,Wave 21,70+,70+,up,4,1
118,5.772977505,5.805424661,5.788977643,Wave 22,"[0,17)","[0,17)",up,4,2
119,4.707949372,4.729551326,4.718862309,Wave 22,"[0,17)","[17,70)",up,4,2
120,0.83064788,0.842108737,0.836109667,Wave 22,"[0,17)",70+,low,4,2
121,4.70769458,4.72952503,4.718731893,Wave 22,"[17,70)","[0,17)",up,4,2
122,6.457759494,6.478356224,6.468077893,Wave 22,"[17,70)","[17,70)",up,4,2
123,3.219053402,3.246972868,3.232829825,Wave 22,"[17,70)",70+,up,4,2
124,0.830483577,0.841517817,0.835781976,Wave 22,70+,"[0,17)",low,4,2
